Date,Open,High,Low,Close,Adj Close,Volume
2017-10-12,25.299999,25.520000,25.270000,25.400000,25.323891,27600
2017-10-13,25.440001,25.490000,25.280001,25.320000,25.244131,52500
2017-10-16,25.299999,25.510000,25.250000,25.430000,25.353802,56900
2017-10-17,25.480000,25.480000,24.990000,25.000000,24.925091,97900
2017-10-18,25.070000,25.230000,24.969999,24.990000,24.915119,36500
2017-10-19,24.910000,25.170000,24.820000,24.990000,24.915119,77600
2017-10-20,25.090000,25.150000,24.700001,24.709999,24.635958,123300
2017-10-23,24.660000,24.740000,24.260000,24.500000,24.426588,126600
2017-10-24,24.549999,24.850000,24.320000,24.500000,24.426588,219000
2017-10-25,24.330000,24.530001,23.920000,24.010000,23.938057,149900
2017-10-26,23.600000,25.910000,23.600000,25.900000,25.822393,285400
2017-10-27,25.959999,25.959999,25.430000,25.580000,25.503353,97000
2017-10-30,25.610001,25.969999,25.219999,25.400000,25.323891,99300
2017-10-31,25.459999,25.950001,25.389999,25.900000,25.822393,71600
2017-11-01,26.000000,26.000000,25.370001,25.709999,25.632961,91600
2017-11-02,25.889999,26.059999,25.809999,25.940001,25.862274,77100
2017-11-03,25.940001,26.000000,25.660000,25.740000,25.662872,48700
2017-11-06,25.620001,25.840000,25.510000,25.700001,25.622993,57600
2017-11-07,25.760000,25.820000,25.260000,25.400000,25.323891,92800
2017-11-08,25.299999,25.360001,25.059999,25.150000,25.074640,62000
2017-11-09,25.030001,25.219999,24.940001,25.030001,24.955002,71000
2017-11-10,25.030001,25.100000,24.879999,24.889999,24.889999,55100
